Adam Bandt,Representative,Current,Melbourne,40,Victoria,Australian Greens,"","",207100,11/3/1972,M,,Adam_Bandt,M3C
Alan Cadman,Representative,,Mitchell,182,New South Wales,Liberal Party of Australia,"","",0,26/7/1937,M,Life Gold Pass Holder,Alan_Cadman,SD4
Alan Eggleston,Senator,,,0,Western Australia,Liberal Party of Australia,"","",0,30/12/1941,M,Severance and Post Retirement Traveller,Alan_Eggleston,4L6
Alan Ferguson,Senator,,,0,South Australia,Liberal Party of Australia,"Deputy President|Chair of Committees","",0,16/9/1943,M,Life Gold Pass Holder,Alan_Ferguson,EP5
Alan Griffin,Representative,,Corinella,73,Victoria,Australian Labor Party,"","",0,23/2/1960,M,Life Gold Pass Holder,Alan_Griffin,VU5
Alan Griffiths,Representative,,Maribyrnong,0,Victoria,Australian Labor Party,"","",0,,,Life Gold Pass Holder,Alan_Griffiths,
Alan Tudge,Representative,Current,Aston,113,Victoria,Liberal Party of Australia,"Minister for Cities, Urban Infrastructure and Population","Ministers Not in Cabinet ($119,082.00)",326182,24/2/1971,M,,Alan_Tudge,M2Y
Alannah MacTiernan,Representative,,Perth,78,Western Australia,Australian Labor Party,"","",0,10/1/1953,F,Post Retirement Traveller,Alannah_MacTiernan,L6P
Alby Schultz,Representative,,Hume,33637,New South Wales,Liberal Party of Australia,"","",0,29/5/1939,M,Severance and Post Retirement Traveller,Alby_Schultz,83Q
Alex Gallacher,Senator,Current,,0,South Australia,Australian Labor Party,"Chair of Foreign Affairs, Defence and Trade References Committee|Deputy Chair of Foreign Affairs, Defence and Trade Legislation Committee|Deputy Chair of Joint Standing Committee on the National Disability Insurance Scheme","Chair of a Senate Legislative and General Purpose Standing Committee ($22,781.00)",229881,1/1/1954,M,,Alex_Gallacher,204953
Alex Hawke,Representative,Current,Mitchell,101,New South Wales,Liberal Party of Australia,"Special Minister of State","",207100,9/7/1977,M,,Alex_Hawke,HWO
Alexander Downer,Representative,,Mayo,9190,South Australia,Liberal Party of Australia,"","",0,9/9/1951,M,Life Gold Pass Holder,Alexander_Downer,4G4
Alexander Forbes,Representative,,Barker,0,South Australia,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Jim_Forbes_(Australian_politician),
Alexander Somlyay,Representative,,Fairfax,1036,Queensland,Liberal Party of Australia,"","",0,18/1/1946,M,Life Gold Pass Holder,Alexander_Somlyay,ZT4
Allan Morris,Representative,,Newcastle,127,New South Wales,Australian Labor Party,"","",0,26/7/1940,M,Life Gold Pass Holder,Allan_Morris,FI4
Allan Rocher,Representative,,Curtin,0,Western Australia,Independent,"","",0,,,Life Gold Pass Holder,Allan_Rocher,
Amanda Rishworth,Representative,Current,Kingston,165,South Australia,Australian Labor Party,"Shadow Minister for Veterans' Affairs|Shadow Minister for Defence Personnel|Shadow Minister for Early Childhood Education and Development","Shadow Cabinet Ministers ($51,775.00)",258875,10/7/1978,F,,Amanda_Rishworth,HWA
Amanda Stoker,Senator,Current,,0,Queensland,Liberal Party of Australia,"","",207100,30/10/1982,F,,Amanda_Stoker,237920
Amanda Vanstone,Senator,,,0,South Australia,Liberal Party of Australia,"","",0,7/12/1952,F,Life Gold Pass Holder,Amanda_Vanstone,7.00E+04
Andrew Bartlett,Senator,,,0,Queensland,Australian Greens,"","",0,4/8/1964,M,Severance and Post-Retirement Traveller,Andrew_Bartlett,DT6
Andrew Broad,Representative,Current,Mallee,81962,Victoria,The Nationals,"Assistant Minister to the Deputy Prime Minister","Parliamentary Secretaries ($51,775.00)",258875,2/7/1975,M,,Andrew_Broad,30379
Andrew Gee,Representative,Current,Calare,32666,New South Wales,The Nationals,"Chair of Standing Committee on the Environment and Energy","Chair of a House of Representatives General Purpose Standing Committee ($22,781.00)",229881,13/9/1968,M,,Andrew_Gee,261393
Andrew Giles,Representative,Current,Scullin,116,Victoria,Australian Labor Party,"Deputy Chair of Joint Standing Committee on Electoral Matters|Shadow Assistant Minister for Schools","Deputy Chair of the Joint Standing Committee on Electoral Matters ($16,568.00)",223668,31/7/1973,M,,Andrew_Giles,243609
Andrew Hastie,Representative,Current,Canning,6304,Western Australia,Liberal Party of Australia,"Chair of Parliamentary Joint Committee on Intelligence and Security","Chair of a Joint Statutory Committee or Joint Standing Committee, Not Otherwise Specified ($22,781.00)",229881,30/9/1982,M,,Andrew_Hastie_(Australian_politician),260805
Andrew Laming,Representative,Current,Bowman,536,Queensland,Liberal Party of Australia,"Chair of Standing Committee on Employment, Education and Training","Chair of a House of Representatives General Purpose Standing Committee ($22,781.00)",229881,30/9/1966,M,,Andrew_Laming,E0H
Andrew Leigh,Representative,Current,Fenner,238,Australian Capital Territory,Australian Labor Party,"Shadow Assistant Treasurer|Shadow Minister for Competition and Productivity|Shadow Minister for Charities and Not-for-profits|Shadow Minister for Trade in Services","Other Shadow Ministers ($41,420.00)",248520,3/8/1972,M,,Andrew_Leigh,BU8
Andrew Murray,Senator,,,0,Western Australia,Australian Democrats,"","",0,29/1/1947,M,Severance and Post-Retirement Traveller,Andrew_Murray_(Australian_politician),3M6
Andrew Nikolic,Representative,,Bass,7378,Tasmania,Liberal Party of Australia,"","",0,20/6/1961,M,Post Retirement Traveller,Andrew_Nikolic,137174
Andrew Peacock,Representative,,Kooyong,0,Victoria,Liberal Party of Australia,"","",0,,,Life Gold Pass Holder,Andrew_Peacock,
Andrew Robb,Representative,,Goldstein,50,Victoria,Liberal Party of Australia,"","",0,20/8/1951,M,Post Retirement Traveller,Andrew_Robb,FU4
Andrew Southcott,Representative,,Boothby,130,South Australia,Liberal Party of Australia,"","",0,15/10/1967,M,Life Gold Pass Holder,Andrew_Southcott,TK6
Andrew Theophanous,Representative,,Calwell,234,Victoria,Independent,"","",0,24/3/1946,M,Life Gold Pass Holder,Andrew_Theophanous,QJ4
